,run_time,user,text,favorite_count,retweet_count,created_at
11,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | BUY (Average)
Mon October, 09:00:04 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦1,010,003.209
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,583,048.773
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦206,811.392
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦22,646.026
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦752.727
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦752.554

 v1.0.6",42,10,2022-10-24 09:00:04+00:00
12,2022-10-27 15:05:26.341246,naira_rates,"Sun October, 11:05:01 AM 

💵 1 USD &gt;&gt;&gt;&gt;&gt; ₦741.192
💷 1 GBP &gt;&gt;&gt;&gt;&gt; ₦855.130
💶 1 EUR &gt;&gt;&gt;&gt;&gt; ₦747.247

 v1.0.6",144,56,2022-10-23 11:05:01+00:00
13,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | SELL (Average)
Sun October, 09:00:08 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦983,348.964
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,480,117.496
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦202,505.944
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦21,173.214
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦752.351
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦751.444

 v1.0.6",61,17,2022-10-23 09:00:09+00:00
14,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | BUY (Average)
Sun October, 09:00:03 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦991,548.571
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,461,872.115
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦204,283.689
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦22,150.044
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦752.762
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦751.855

 v1.0.6",49,14,2022-10-23 09:00:03+00:00
15,2022-10-27 15:05:26.341246,naira_rates,"Sat October, 11:05:01 AM 

💵 1 USD &gt;&gt;&gt;&gt;&gt; ₦741.192
💷 1 GBP &gt;&gt;&gt;&gt;&gt; ₦855.130
💶 1 EUR &gt;&gt;&gt;&gt;&gt; ₦747.247

 v1.0.6",201,71,2022-10-22 11:05:01+00:00
16,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | SELL (Average)
Sat October, 09:00:11 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦977,931.532
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,469,145.955
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦202,596.097
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦20,900.010
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦754.319
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦754.022

 v1.0.6",84,20,2022-10-22 09:00:11+00:00
17,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | BUY (Average)
Sat October, 09:00:05 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦984,497.666
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,469,328.492
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦204,149.888
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦22,001.418
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦753.421
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦753.124

 v1.0.6",44,12,2022-10-22 09:00:05+00:00
18,2022-10-27 15:05:26.341246,naira_rates,"Fri October, 11:05:00 AM 

💵 1 USD &gt;&gt;&gt;&gt;&gt; ₦736.294
💷 1 GBP &gt;&gt;&gt;&gt;&gt; ₦854.435
💶 1 EUR &gt;&gt;&gt;&gt;&gt; ₦742.308

 v1.0.6",87,26,2022-10-21 11:05:01+00:00
19,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | SELL (Average)
Fri October, 09:00:11 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦958,764.813
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,335,177.289
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦199,737.968
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦20,665.035
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦752.096
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦751.133

 v1.0.6",64,22,2022-10-21 09:00:11+00:00
20,2022-10-27 15:05:26.341246,naira_rates,"Crypto P2P | BUY (Average)
Fri October, 09:00:05 AM 

🪙 1 ETH &gt;&gt;&gt;&gt;&gt; ₦968,260.816
🪙 1 BTC &gt;&gt;&gt;&gt;&gt; ₦14,334,398.808
🪙 1 BNB &gt;&gt;&gt;&gt;&gt; ₦202,336.956
🪙 1 SOL &gt;&gt;&gt;&gt;&gt; ₦22,250.882
🪙 1 USDT &gt;&gt;&gt;&gt;&gt; ₦752.002
🪙 1 USDC &gt;&gt;&gt;&gt;&gt; ₦751.039

 v1.0.6",49,18,2022-10-21 09:00:05+00:00
